City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Srednekolymsk,RU,2022-09-25 19:01:49,67.45,153.6833,29.12,79,36,7.85
239,Oranjemund,NA,2022-09-25 19:01:49,-28.55,16.4333,55.85,79,99,5.14
240,Lanzhou,CN,2022-09-25 19:00:09,36.0564,103.7922,63.28,50,99,2.35
241,Cozumel,MX,2022-09-25 19:00:21,20.5083,-86.9458,91.47,77,40,7.0
242,Kovdor,RU,2022-09-25 19:01:50,67.5662,30.4758,34.18,89,50,2.95
243,Lebu,CL,2022-09-25 19:01:50,-37.6167,-73.65,53.24,64,33,8.68
244,Uribia,CO,2022-09-25 19:01:50,11.7139,-72.266,85.1,66,100,8.19
245,Colomi,BO,2022-09-25 19:01:51,-17.35,-65.8667,70.47,64,63,11.32
246,Luanda,AO,2022-09-25 18:58:32,-8.8368,13.2343,71.6,87,100,14.14
247,Namibe,AO,2022-09-25 19:01:51,-15.1961,12.1522,64.35,82,86,10.45
248,Nivala,FI,2022-09-25 19:01:51,63.9167,24.9667,42.69,93,39,5.23
249,Noumea,NC,2022-09-25 19:00:28,-22.2763,166.4572,66.18,85,0,4.72
250,Karla,EE,2022-09-25 19:01:52,59.3723,24.9275,47.91,87,20,0.0
251,Morondava,MG,2022-09-25 19:01:52,-20.2833,44.2833,74.16,84,0,9.13
252,Arman,RU,2022-09-25 19:01:52,59.7,150.1667,41.02,61,100,8.68
253,Novyy Nekouz,RU,2022-09-25 19:01:53,57.9029,38.07,44.62,94,89,4.54
254,Tasiilaq,GL,2022-09-25 19:01:53,65.6145,-37.6368,44.76,58,100,6.26
255,Somerset East,ZA,2022-09-25 19:01:53,-32.7217,25.588,73.44,36,100,23.0
256,Dubbo,AU,2022-09-25 19:01:54,-32.25,148.6167,44.73,93,100,4.61
257,Naze,JP,2022-09-25 19:01:54,28.3667,129.4833,77.04,81,15,7.76
258,Sitka,US,2022-09-25 19:01:54,57.0531,-135.33,55.29,94,100,4.61
259,Mahon,ES,2022-09-25 19:01:54,39.8885,4.2658,70.36,73,75,13.8
260,Pangnirtung,CA,2022-09-25 19:01:55,66.1451,-65.7125,42.75,49,100,3.44
261,Port Moresby,PG,2022-09-25 19:01:55,-9.4431,147.1797,75.42,89,62,3.58
262,Manta,EC,2022-09-25 19:01:55,-0.95,-80.7333,76.24,70,88,17.07
263,Pine Hills,US,2022-09-25 19:00:23,28.5578,-81.4534,90.09,66,95,1.99
264,Puerto Leguizamo,CO,2022-09-25 19:01:56,-0.1934,-74.7819,92.82,41,74,2.66
265,Ancud,CL,2022-09-25 19:01:56,-41.8697,-73.8203,49.23,76,100,19.19
266,Klyuchi,RU,2022-09-25 19:01:56,52.2667,79.1667,62.4,45,98,5.73
267,Yelizavetinskoye,RU,2022-09-25 19:01:57,45.0072,43.3494,54.9,64,10,8.37
268,Savyntsi,UA,2022-09-25 19:01:57,49.4026,37.0627,49.98,66,52,7.99
269,Waddan,LY,2022-09-25 19:01:57,29.1614,16.139,80.8,31,0,8.03
270,Novyy Urengoy,RU,2022-09-25 19:01:57,66.0833,76.6333,29.1,87,70,14.12
271,Tiarei,PF,2022-09-25 19:01:58,-17.5333,-149.3333,80.62,79,44,24.94
272,San Rafael Del Sur,NI,2022-09-25 19:01:58,11.8485,-86.4384,81.43,79,100,6.89
273,Novouzensk,RU,2022-09-25 19:01:59,50.4592,48.1431,50.77,78,100,17.25
274,Cayenne,GF,2022-09-25 19:00:05,4.9333,-52.3333,89.64,58,0,18.41
275,Zhezkazgan,KZ,2022-09-25 19:02:59,47.8043,67.7144,71.82,22,100,7.99
276,Tsagan Aman,RU,2022-09-25 19:03:00,47.5639,46.7218,59.49,44,98,19.62
277,Padang,ID,2022-09-25 19:00:31,-0.9492,100.3543,77.76,85,100,3.74
278,Cerquilho,BR,2022-09-25 19:03:00,-23.165,-47.7436,77.14,31,58,3.8
279,Kruisfontein,ZA,2022-09-25 19:03:00,-34.0033,24.7314,59.88,87,100,10.6
280,Paramirim,BR,2022-09-25 19:03:00,-13.4425,-42.2389,81.81,49,40,9.44
281,Nara,JP,2022-09-25 19:01:15,34.6851,135.8049,68.5,68,12,2.1
282,Clyde River,CA,2022-09-25 19:03:01,70.4692,-68.5914,35.85,81,100,6.04
283,Mana,GF,2022-09-25 19:03:01,5.6592,-53.7767,84.56,68,22,12.97
284,Thompson,CA,2022-09-25 19:03:02,55.7435,-97.8558,47.26,42,100,13.73
285,Hofn,IS,2022-09-25 19:03:02,64.2539,-15.2082,44.56,55,0,28.3
286,Tura,IN,2022-09-25 19:03:03,25.5198,90.2201,72.45,95,100,3.29
287,Cabo San Lucas,MX,2022-09-25 19:01:49,22.8909,-109.9124,90.18,72,100,5.23
288,Nsanje,MW,2022-09-25 19:03:03,-16.92,35.262,83.1,48,67,6.55
